,M,So,Ed,Po1,Po2,LF,M.F,Pop,NW,U1,U2,Wealth,Ineq,Prob,Time,Crime
0,15.1,1.0,9.1,5.8,5.6,0.51,95.0,33.0,30.1,0.108,4.1,3940.0,26.1,0.084602,26.2011,791.0
1,14.3,0.0,11.3,10.3,9.5,0.583,101.2,13.0,10.2,0.096,3.6,5570.0,19.4,0.029599,25.2999,1635.0
2,14.2,1.0,8.9,4.5,4.4,0.533,96.9,18.0,21.9,0.094,3.3,3180.0,25.0,0.083401,24.3006,578.0
3,13.6,0.0,12.1,14.9,14.1,0.577,99.4,157.0,8.0,0.102,3.9,6730.0,16.7,0.015801,29.9012,1969.0
4,14.1,0.0,12.1,10.9,10.1,0.591,98.5,18.0,3.0,0.091,2.0,5780.0,17.4,0.041399,21.2998,1234.0
5,12.1,0.0,11.0,11.8,11.5,0.547,96.4,25.0,4.4,0.084,2.9,6890.0,12.6,0.034201,20.9995,682.0
6,12.7,1.0,11.1,8.2,7.9,0.519,98.2,4.0,13.9,0.097,3.8,6200.0,16.8,0.0421,20.6993,963.0
7,13.1,1.0,10.9,11.5,10.9,0.542,96.9,50.0,17.9,0.079,3.5,4720.0,20.6,0.040099,24.5988,1555.0
8,15.7,1.0,9.0,6.5,6.2,0.553,95.5,39.0,28.6,0.081,2.8,4210.0,23.9,0.071697,29.4001,856.0
9,14.0,0.0,11.8,7.1,6.8,0.632,102.9,7.0,1.5,0.1,2.4,5260.0,17.4,0.044498,19.5994,705.0
10,12.4,0.0,10.5,12.1,11.6,0.58,96.6,101.0,10.6,0.077,3.5,6570.0,17.0,0.016201,41.6,1674.0
11,13.4,0.0,10.8,7.5,7.1,0.595,97.2,47.0,5.9,0.083,3.1,5800.0,17.2,0.031201,34.2984,849.0
12,12.8,0.0,11.3,6.7,6.0,0.624,97.2,28.0,1.0,0.077,2.5,5070.0,20.6,0.045302,36.2993,511.0
13,13.5,0.0,11.7,6.2,6.1,0.595,98.6,22.0,4.6,0.077,2.7,5290.0,19.0,0.0532,21.501,664.0
14,15.2,1.0,8.7,5.7,5.3,0.53,98.6,30.0,7.2,0.092,4.3,4050.0,26.4,0.0691,22.7008,798.0
15,14.2,1.0,8.8,8.1,7.7,0.497,95.6,33.0,32.1,0.116,4.7,4270.0,24.7,0.052099,26.0991,946.0
16,14.3,0.0,11.0,6.6,6.3,0.537,97.7,10.0,0.6,0.114,3.5,4870.0,16.6,0.076299,19.1002,539.0
17,13.5,1.0,10.4,12.3,11.5,0.537,97.8,31.0,17.0,0.089,3.4,6310.0,16.5,0.119804,18.1996,929.0
18,13.0,0.0,11.6,12.8,12.8,0.536,93.4,51.0,2.4,0.078,3.4,6270.0,13.5,0.019099,24.9008,750.0
19,12.5,0.0,10.8,11.3,10.5,0.567,98.5,78.0,9.4,0.13,5.8,6260.0,16.6,0.034801,26.401,1225.0
20,12.6,0.0,10.8,7.4,6.7,0.602,98.4,34.0,1.2,0.102,3.3,5570.0,19.5,0.0228,37.5998,742.0
21,15.7,1.0,8.9,4.7,4.4,0.512,96.2,22.0,42.3,0.097,3.4,2880.0,27.6,0.089502,37.0994,439.0
22,13.2,0.0,9.6,8.7,8.3,0.564,95.3,43.0,9.2,0.083,3.2,5130.0,22.7,0.0307,25.1989,1216.0
23,13.1,0.0,11.6,7.8,7.3,0.574,103.8,7.0,3.6,0.142,4.2,5400.0,17.6,0.041598,17.6,968.0
24,13.0,0.0,11.6,6.3,5.7,0.641,98.4,14.0,2.6,0.07,2.1,4860.0,19.6,0.069197,21.9003,523.0
25,13.1,0.0,12.1,16.0,14.3,0.631,107.1,3.0,7.7,0.102,4.1,6740.0,15.2,0.041698,22.1005,1993.0
26,13.5,0.0,10.9,6.9,7.1,0.54,96.5,6.0,0.4,0.08,2.2,5640.0,13.9,0.036099,28.4999,342.0
27,15.2,0.0,11.2,8.2,7.6,0.571,101.8,10.0,7.9,0.103,2.8,5370.0,21.5,0.038201,25.8006,1216.0
28,11.9,0.0,10.7,16.6,15.7,0.521,93.8,168.0,8.9,0.092,3.6,6370.0,15.4,0.0234,36.7009,1043.0
29,16.6,1.0,8.9,5.8,5.4,0.521,97.3,46.0,25.4,0.072,2.6,3960.0,23.7,0.075298,28.3011,696.0
30,14.0,0.0,9.3,5.5,5.4,0.535,104.5,6.0,2.0,0.135,4.0,4530.0,20.0,0.041999,21.7998,373.0
31,12.5,0.0,10.9,9.0,8.1,0.586,96.4,97.0,8.2,0.105,4.3,6170.0,16.3,0.042698,30.9014,754.0
32,14.7,1.0,10.4,6.3,6.4,0.56,97.2,23.0,9.5,0.076,2.4,4620.0,23.3,0.049499,25.5005,1072.0
33,12.6,0.0,11.8,9.7,9.7,0.542,99.0,18.0,2.1,0.102,3.5,5890.0,16.6,0.040799,21.6997,923.0
34,12.3,0.0,10.2,9.7,8.7,0.526,94.8,113.0,7.6,0.124,5.0,5720.0,15.8,0.0207,37.4011,653.0
35,15.0,0.0,10.0,10.9,9.8,0.531,96.4,9.0,2.4,0.087,3.8,5590.0,15.3,0.0069,44.0004,1272.0
36,17.7,1.0,8.7,5.8,5.6,0.638,97.4,24.0,34.9,0.076,2.8,3820.0,25.4,0.045198,31.6995,831.0
37,13.3,0.0,10.4,5.1,4.7,0.599,102.4,7.0,4.0,0.099,2.7,4250.0,22.5,0.053998,16.6999,566.0
38,14.9,1.0,8.8,6.1,5.4,0.515,95.3,36.0,16.5,0.086,3.5,3950.0,25.1,0.047099,27.3004,826.0
39,14.5,1.0,10.4,8.2,7.4,0.56,98.1,96.0,12.6,0.088,3.1,4880.0,22.8,0.038801,29.3004,1151.0
40,14.8,0.0,12.2,7.2,6.6,0.601,99.8,9.0,1.9,0.084,2.0,5900.0,14.4,0.0251,30.0001,880.0
41,14.1,0.0,10.9,5.6,5.4,0.523,96.8,4.0,0.2,0.107,3.7,4890.0,17.0,0.088904,12.1996,542.0
42,16.2,1.0,9.9,7.5,7.0,0.522,99.6,40.0,20.8,0.073,2.7,4960.0,22.4,0.054902,31.9989,823.0
43,13.6,0.0,12.1,9.5,9.6,0.574,101.2,29.0,3.6,0.111,3.7,6220.0,16.2,0.0281,30.0001,1030.0
44,13.9,1.0,8.8,4.6,4.1,0.48,96.8,19.0,4.9,0.135,5.3,4570.0,24.9,0.056202,32.5996,455.0
45,12.6,0.0,10.4,10.6,9.7,0.599,98.9,40.0,2.4,0.078,2.5,5930.0,17.1,0.046598,16.6999,508.0
46,13.0,0.0,12.1,9.0,9.1,0.623,104.9,3.0,2.2,0.113,4.0,5880.0,16.0,0.052802,16.0997,849.0
